city,lat,lng,country,iso2,admin_name,capital,population,population_proper
Sukhodilsk,48.35,39.7167,Ukraine,UA,Luhanska Oblast,,21324.0,21324.0
Liubotyn,49.9489,35.9306,Ukraine,UA,Kharkivska Oblast,,20887.0,20887.0
Kotsyubyns’ke,50.4883,30.3331,Ukraine,UA,"Kyiv, Misto",,16337.0,16337.0
Hostomel,50.5893,30.2584,Ukraine,UA,Kyivska Oblast,,16190.0,16190.0
Taromske,48.4619,34.7829,Ukraine,UA,Dnipropetrovska Oblast,,15838.0,15838.0
Vynnyky,49.8156,24.1297,Ukraine,UA,Lvivska Oblast,,15723.0,15723.0
Chervonopartyzansk,48.0833,39.7833,Ukraine,UA,Luhanska Oblast,,15218.0,15218.0
Nyzhnia Krynka,48.1144,38.1606,Ukraine,UA,Donetska Oblast,,13927.0,13927.0
Petrovske,48.2833,38.8833,Ukraine,UA,Luhanska Oblast,,13500.0,13500.0
Antonivka,46.6791,32.7228,Ukraine,UA,Khersonska Oblast,,12812.0,12812.0
Zhdanivka,48.15,38.25,Ukraine,UA,Donetska Oblast,,11913.0,11913.0
Vakhrusheve,48.1667,38.8333,Ukraine,UA,Luhanska Oblast,,11421.0,11421.0
Hirnyk,48.05,37.3667,Ukraine,UA,Donetska Oblast,,11378.0,11378.0
Sartana,47.1708,37.6954,Ukraine,UA,Donetska Oblast,,10350.0,10350.0
Haspra,44.4361,34.1106,Ukraine,UA,"Krym, Avtonomna Respublika",,10310.0,10310.0
Novgorodskoye,48.3328,37.8369,Ukraine,UA,Donetska Oblast,,10227.0,9917.0
Inkerman,44.6142,33.6083,Ukraine,UA,"Sevastopol, Misto",,10196.0,10196.0
Korolevo,48.15,23.1333,Ukraine,UA,Zakarpatska Oblast,,10165.0,10165.0
Sniatyn,48.45,25.5667,Ukraine,UA,Ivano-Frankivska Oblast,minor,9942.0,9942.0
Sofiivka,48.2683,38.1847,Ukraine,UA,Donetska Oblast,,9597.0,9597.0
Bezliudivka,49.8694,36.2719,Ukraine,UA,Kharkivska Oblast,,9436.0,9436.0
Bilenke,48.7664,37.6314,Ukraine,UA,Donetska Oblast,,9136.0,9136.0
Hurzuf,44.5528,34.2875,Ukraine,UA,"Krym, Avtonomna Respublika",,9117.0,9117.0
Horodenka,48.6675,25.5003,Ukraine,UA,Ivano-Frankivska Oblast,minor,9113.0,9113.0
Masandra,44.5167,34.1833,Ukraine,UA,"Krym, Avtonomna Respublika",,8571.0,8571.0
Yasnohirka,48.7725,37.5506,Ukraine,UA,Donetska Oblast,,8034.0,8034.0
Pochaiv,50.0079,25.4977,Ukraine,UA,Ternopilska Oblast,,7691.0,7691.0
Vuhlehirsk,48.3128,38.2605,Ukraine,UA,Donetska Oblast,,7372.0,7372.0
Zorynsk,48.4167,38.6167,Ukraine,UA,Luhanska Oblast,,7173.0,7173.0
Komyshany,46.64,32.51,Ukraine,UA,Khersonska Oblast,,6941.0,6941.0
Piskivka,50.7078,29.595,Ukraine,UA,Kyivska Oblast,minor,6896.0,6896.0
Karnaukhivka,48.4698,34.7376,Ukraine,UA,Dnipropetrovska Oblast,,6631.0,6631.0
Rozkishne,48.4922,39.2719,Ukraine,UA,Luhanska Oblast,,6482.0,6482.0
Vorzel,50.5464,30.1564,Ukraine,UA,Kyivska Oblast,,6441.0,6441.0
Halych,49.1128,24.7217,Ukraine,UA,Ivano-Frankivska Oblast,minor,6196.0,6196.0
Petropavlivs’ka Borshchahivka,50.4378,30.3439,Ukraine,UA,Kyivska Oblast,,6125.0,6125.0
Balabyne,47.735,35.2142,Ukraine,UA,Zaporizka Oblast,,6010.0,6010.0
Zelenivka,46.718,32.6484,Ukraine,UA,Khersonska Oblast,,5775.0,5775.0
Chornukhyne,48.3264,38.5156,Ukraine,UA,Luhanska Oblast,,5725.0,5725.0
Koreiz,44.4331,34.0872,Ukraine,UA,"Krym, Avtonomna Respublika",,5455.0,5455.0
Bryukhovychi,49.9,23.9436,Ukraine,UA,Lvivska Oblast,,5400.0,5400.0
Horenka,50.5569,30.3175,Ukraine,UA,Kyivska Oblast,,5358.0,5358.0
Zalizne,48.375,37.8733,Ukraine,UA,Donetska Oblast,,4928.0,4928.0
Khotiv,50.3333,30.4664,Ukraine,UA,Kyivska Oblast,,4737.0,4737.0
Chabany,50.34,30.4228,Ukraine,UA,Kyivska Oblast,,4641.0,4641.0
Novooleksandrivka,48.3454,34.9969,Ukraine,UA,Dnipropetrovska Oblast,,4502.0,4502.0
Almazna,48.5167,38.5833,Ukraine,UA,Luhanska Oblast,,4301.0,4301.0
Shabelkivka,48.7608,37.4881,Ukraine,UA,Donetska Oblast,,4267.0,4267.0
Obroshino,49.7853,23.8686,Ukraine,UA,Lvivska Oblast,,4186.0,4186.0
Novopillia,47.9539,33.5278,Ukraine,UA,Dnipropetrovska Oblast,,4037.0,4037.0
Simeiz,44.4053,34.0044,Ukraine,UA,"Krym, Avtonomna Respublika",,3901.0,3901.0
Novosilky,50.3544,30.4544,Ukraine,UA,"Kyiv, Misto",,3761.0,3761.0
Duliby,49.2306,23.8167,Ukraine,UA,Lvivska Oblast,,3671.0,3671.0
Kryukivshchyna,50.3683,30.3681,Ukraine,UA,Kyivska Oblast,,3509.0,3509.0
Rohan,49.9044,36.4889,Ukraine,UA,Kharkivska Oblast,,3449.0,3449.0
Mykhaylivka-Rubezhivka,50.5003,30.1458,Ukraine,UA,Kyivska Oblast,,3430.0,3430.0
Valianivske,48.0767,39.5611,Ukraine,UA,Luhanska Oblast,,3324.0,3324.0
Malokaterynivka,47.657,35.2591,Ukraine,UA,Zaporizka Oblast,,3320.0,3320.0
Vylok,48.1119,22.8379,Ukraine,UA,Zakarpatska Oblast,,3201.0,3201.0
Kulynychi,49.98,36.3833,Ukraine,UA,Kharkivska Oblast,,2985.0,2985.0
Sadky,49.009,33.4602,Ukraine,UA,Poltavska Oblast,,2939.0,2939.0
Pervomaiskyi,47.9736,38.7875,Ukraine,UA,Donetska Oblast,,2837.0,2837.0
Brytivka,46.1722,30.2833,Ukraine,UA,Odeska Oblast,,2818.0,2818.0
Blyzhnie,45.0569,35.3306,Ukraine,UA,"Krym, Avtonomna Respublika",,2779.0,2779.0
Lyubymivka,48.3721,35.1772,Ukraine,UA,Dnipropetrovska Oblast,,2610.0,2610.0
Mala Rohan,49.9379,36.4874,Ukraine,UA,Kharkivska Oblast,,2603.0,2603.0
Kaihador,44.9633,35.3553,Ukraine,UA,"Krym, Avtonomna Respublika",,2572.0,2572.0
Nikita,44.5111,34.2353,Ukraine,UA,"Krym, Avtonomna Respublika",,2466.0,2466.0
Tereshky,49.5471,34.6227,Ukraine,UA,Poltavska Oblast,,2450.0,2450.0
Zarichany,50.23,28.65,Ukraine,UA,Zhytomyrska Oblast,,2439.0,2439.0
Aviatorske,48.3664,35.083,Ukraine,UA,Dnipropetrovska Oblast,,2438.0,2438.0
Mykhailivka,48.4964,38.9025,Ukraine,UA,Luhanska Oblast,,2373.0,2373.0
Verkhnosadove,44.6889,33.7056,Ukraine,UA,"Sevastopol, Misto",,2331.0,2331.0
Aeroflotskyi,45.0194,34.0,Ukraine,UA,"Krym, Avtonomna Respublika",,2325.0,2325.0
Chornotysiv,48.0783,23.0536,Ukraine,UA,Zakarpatska Oblast,,2232.0,2232.0
Borki,49.9133,23.9178,Ukraine,UA,Lvivska Oblast,,2203.0,2203.0
Piilo,49.0028,24.3036,Ukraine,UA,Ivano-Frankivska Oblast,,2150.0,2150.0
Yablunytsia,48.3278,24.4944,Ukraine,UA,Ivano-Frankivska Oblast,,1986.0,1986.0
Dobrovlyany,48.6641,25.754,Ukraine,UA,Ternopilska Oblast,,1980.0,1980.0
Bilshivtsi,49.1856,24.7464,Ukraine,UA,Ivano-Frankivska Oblast,,1938.0,1938.0
Ruski Tyshky,50.1371,36.4174,Ukraine,UA,Kharkivska Oblast,,1908.0,1908.0
Shcherbani,49.5334,34.5385,Ukraine,UA,Poltavska Oblast,,1864.0,1864.0
Stari Kodaky,48.3768,35.124,Ukraine,UA,Dnipropetrovska Oblast,,1619.0,1619.0
Berezivka,49.9058,36.0642,Ukraine,UA,Kharkivska Oblast,,1584.0,1584.0
Nasypne,45.0458,35.2958,Ukraine,UA,"Krym, Avtonomna Respublika",,1581.0,1581.0
Lisnyky,50.3039,30.5158,Ukraine,UA,Kyivska Oblast,,1513.0,1513.0
Andriivka,44.8161,33.5635,Ukraine,UA,"Sevastopol, Misto",,1498.0,1498.0
Iverske,48.6367,36.9608,Ukraine,UA,Donetska Oblast,,1419.0,1419.0
Chukaluvka,48.8681,24.6897,Ukraine,UA,Ivano-Frankivska Oblast,,1407.0,1407.0
Pokrovske,47.0503,37.4658,Ukraine,UA,Donetska Oblast,,1383.0,1383.0
Solomonovo,48.4306,22.1639,Ukraine,UA,Zakarpatska Oblast,,1342.0,1342.0
Lavky,48.48,22.6944,Ukraine,UA,Zakarpatska Oblast,,1299.0,1299.0
Slobozhanske,50.1928,36.4136,Ukraine,UA,Kharkivska Oblast,,1173.0,1173.0
Shevchenkivske,48.0985,33.595,Ukraine,UA,Dnipropetrovska Oblast,,1140.0,1140.0
Krasnokamianka,44.5625,34.2931,Ukraine,UA,"Krym, Avtonomna Respublika",,1074.0,1074.0
Bairachky,48.3883,38.5992,Ukraine,UA,Luhanska Oblast,,1065.0,1065.0
Marianivka,48.3118,33.5294,Ukraine,UA,Dnipropetrovska Oblast,,1016.0,1016.0
Volodymyr-Volynskyi,50.8525,24.3236,Ukraine,UA,Volynska Oblast,minor,,
